Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,552.0,0,791
0.0,579.0,0,792
0.0,604.0,0,792
0.0,630.0,0,792
0.0,655.0,0,792
0.0,681.0,0,792
0.0,706.0,0,792
0.0,733.0,0,792
0.0,757.0,0,792
0.0,782.0,0,792
0.0,806.0,0,792
0.0,833.0,0,792
0.0,860.0,0,792
0.0,884.0,0,792
0.0,909.0,0,792
0.0,933.0,0,792
0.0,960.0,0,791
0.0,983.0,0,792
0.0,1007.0,0,792
0.0,1034.0,0,792
0.0,1058.0,0,792
0.0,1085.0,0,792
0.0,1110.0,0,792
0.0,1136.0,0,792
0.0,1161.0,0,792
0.0,1187.0,0,791
0.0,1212.0,0,791
0.0,1239.0,0,792
0.0,1263.0,0,792
0.0,1290.0,0,791
0.0,1316.0,0,792
0.0,1343.0,0,792
0.0,1370.0,0,792
0.0,1396.0,0,792
0.0,1525.0,0,792
0.0,1552.0,0,792
0.0,1579.0,0,792
0.0,1605.0,0,792
0.0,1865.0,0,791
0.0,1894.0,0,792
0.0,1921.0,0,791
0.0,1945.0,0,792
-3.0,2211.0,0,791
-3.0,2238.0,0,792
-3.0,2267.0,0,792
-3.0,2295.0,0,791
-3.0,2539.0,331,791
-3.0,2570.0,359,790
-3.0,2600.0,368,790
-3.0,2631.0,374,789
-3.0,2879.0,395,787
-3.0,2908.0,395,786
-3.0,2938.0,423,786
-3.0,3221.0,422,779
-3.0,3252.0,368,778
-3.0,3280.0,428,777
-3.0,3540.0,425,771
-3.0,3571.0,431,770
-3.0,3600.0,432,770
-3.0,3874.0,388,768
-3.0,3905.0,431,769
-3.0,3934.0,405,768
-3.0,4194.0,424,768
-3.0,4225.0,423,768
-3.0,4253.0,419,768
-3.0,4534.0,364,767
-3.0,4562.0,346,768
-3.0,4593.0,339,767
-3.0,4878.0,340,766
-3.0,4907.0,259,766
-3.0,4935.0,298,765
-3.0,5203.0,91,760
-3.0,5232.0,181,759
-3.0,5261.0,229,759
-3.0,5548.0,0,757
-3.0,5576.0,0,756
-3.0,5607.0,74,757
-3.0,5871.0,0,756
-3.0,5898.0,0,756
-3.0,5924.0,0,757
-3.58,6234.0,0,756
-3.58,6260.0,0,757
-3.58,6287.0,0,757
-3.58,6545.0,343,757
-3.58,6574.0,414,755
-3.58,6602.0,394,753
-3.58,6885.0,466,744
-3.58,6914.0,464,745
-3.58,6942.0,456,744
-3.58,7200.0,220,743
-3.58,7229.0,237,744
-3.58,7260.0,149,743
-3.58,7542.0,165,744
-3.58,7571.0,180,744
-3.58,7602.0,147,745
-3.58,7872.0,181,744
-3.58,7901.0,182,744
-3.58,7931.0,171,744
-4.1,8216.0,154,744
-4.1,8245.0,180,744
-4.1,8273.0,140,744
-4.1,8548.0,194,745
-4.1,8577.0,158,746
-4.1,8605.0,175,746
-4.1,8892.0,166,748
-4.1,8921.0,173,748
-4.1,8949.0,156,748
-4.1,8978.0,165,748
-4.1,9209.0,157,750
-4.1,9240.0,149,750
-4.1,9269.0,182,750
-4.1,9545.0,136,751
-4.1,9574.0,171,751
-4.1,9603.0,162,751
-4.1,9879.0,153,751
-4.1,9908.0,154,752
-4.1,9936.0,177,752
-4.1,9965.0,175,751
-3.6,10217.0,153,753
-3.6,10248.0,180,753
-3.6,10276.0,143,753
-3.6,10307.0,168,753
-3.6,10551.0,167,754
-3.6,10579.0,166,753
-3.6,10610.0,166,753
-3.6,10639.0,149,754
-3.6,10876.0,165,754
-3.6,10907.0,104,754
-3.6,10938.0,171,754
-3.6,11212.0,164,754
-3.6,11245.0,114,754
-3.6,11276.0,119,754
-3.6,11307.0,163,754
-3.6,11548.0,159,754
-3.6,11579.0,143,754
-3.6,11610.0,142,754
-3.6,11640.0,123,754
-3.6,11876.0,173,755
-3.6,11907.0,87,754
-3.6,11937.0,145,754
-3.6,11968.0,174,754
-3.07,12204.0,163,755
-3.07,12232.0,100,754
-3.07,12263.0,116,755
-3.07,12292.0,166,754
-3.07,12548.0,156,754
-3.07,12576.0,88,754
-3.07,12605.0,90,754
-3.07,12636.0,110,754
-3.07,12666.0,106,754
-3.07,12873.0,91,755
-3.07,12904.0,92,754
-3.07,12935.0,127,755
-3.07,12965.0,158,754
-3.07,12996.0,100,754
-3.07,13215.0,26,754
-3.07,13244.0,24,755
-3.07,13273.0,74,754
-3.07,13301.0,76,754
-3.07,13330.0,63,754
-3.07,13547.0,129,754
-3.07,13576.0,123,754
-3.07,13606.0,150,754
-3.07,13635.0,114,755
-3.07,13668.0,116,754
-3.07,13881.0,120,754
-3.07,13912.0,132,754
-3.07,13942.0,142,754
-3.07,13973.0,78,754
-3.07,14004.0,134,754
-3.07,14211.0,0,754
-3.07,14239.0,47,754
-3.07,14268.0,66,754
-3.07,14297.0,0,755
-3.07,14323.0,0,755
-3.07,14546.0,0,755
-3.07,14573.0,0,754
-3.07,14604.0,0,754
-3.07,14630.0,0,755
-3.07,14659.0,0,754
-3.07,14884.0,0,754
-3.07,14911.0,0,754
-3.07,14940.0,0,754
-3.07,14966.0,0,754
-3.07,14997.0,0,754
-3.07,15216.0,0,754
-3.07,15245.0,0,754
-3.07,15273.0,0,754
-3.07,15302.0,0,754
-3.07,15331.0,0,754
-3.07,15552.0,0,755
-3.07,15581.0,0,754
-3.07,15609.0,0,754
-3.07,15638.0,0,755
-3.07,15667.0,0,754
-3.07,15876.0,0,754
-3.07,15904.0,0,754
-3.07,15933.0,0,754
-3.07,15962.0,0,754
-3.07,15990.0,0,754
-3.64,16211.0,0,755
-3.64,16240.0,0,754
-3.64,16267.0,0,755
-3.64,16295.0,0,754
-3.64,16533.0,0,755
-3.64,16560.0,0,755
-3.64,16588.0,0,754
-3.64,16617.0,0,755
-3.64,16879.0,0,754
-3.64,16906.0,0,754
-3.64,16932.0,0,754
-3.64,16961.0,0,754
-3.64,16990.0,0,754
-3.64,17242.0,0,755
-3.64,17272.0,0,754
-3.64,17301.0,1,754
-3.64,17328.0,0,754
-3.64,17356.0,0,754
-3.64,17584.0,0,754
-3.64,17620.0,0,754
-3.64,17647.0,0,754
-3.64,17676.0,0,754
-3.64,17702.0,0,754
-3.64,17891.0,0,754
-3.64,17920.0,0,754
-3.64,17946.0,0,754
-3.64,17975.0,0,754
-3.64,18003.0,0,754
-4.17,18223.0,0,754
-4.17,18249.0,0,754
-4.17,18278.0,0,754
-4.17,18307.0,0,755
-4.17,18563.0,0,754
-4.17,18591.0,0,754
-4.17,18620.0,0,754
-4.17,18647.0,0,754
-4.17,18888.0,0,754
-4.17,18917.0,0,754
-4.17,18944.0,0,754
-4.17,18972.0,0,754
-4.17,19202.0,0,754
-4.17,19230.0,0,754
-4.17,19259.0,0,754
-4.17,19288.0,0,754
-4.17,19316.0,0,754
-4.17,19544.0,0,754
-4.17,19572.0,0,755
-4.17,19601.0,0,754
-4.17,19630.0,0,754
-4.17,19886.0,53,754
-4.17,19916.0,68,754
-4.17,19945.0,0,755
-4.17,19974.0,0,754
-4.17,20002.0,0,755
-4.66,20215.0,149,754
-4.66,20244.0,3,754
-4.66,20273.0,38,754
-4.66,20303.0,44,754
-4.66,20553.0,58,754
-4.66,20584.0,173,755
-4.66,20613.0,0,754
-4.66,20639.0,0,754
-4.66,20885.0,89,754
-4.66,20914.0,0,754
-4.66,20940.0,0,754
-4.66,20969.0,0,755
-4.66,21215.0,0,754
