Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,552.0,0,804
0.0,577.0,0,804
0.0,604.0,0,804
0.0,628.0,0,805
0.0,657.0,0,804
0.0,684.0,0,804
0.0,708.0,0,805
0.0,735.0,0,804
0.0,759.0,0,805
0.0,784.0,0,805
0.0,808.0,0,804
0.0,833.0,0,804
0.0,858.0,0,804
0.0,880.0,0,804
0.0,905.0,0,805
0.0,929.0,0,804
0.0,954.0,0,804
0.0,978.0,0,805
0.0,1003.0,0,805
0.0,1028.0,1,805
0.0,1054.0,0,804
0.0,1079.0,1,804
0.0,1105.0,0,805
0.0,1130.0,0,804
0.0,1157.0,0,804
0.0,1181.0,0,805
0.0,1208.0,0,804
0.0,1232.0,0,804
0.0,1257.0,0,804
0.0,1460.0,0,804
0.0,1486.0,0,804
0.0,1511.0,0,804
0.0,1538.0,0,804
0.0,1783.0,0,804
0.0,1812.0,0,804
0.0,1839.0,0,804
0.0,1865.0,0,804
-3.0,2127.0,0,804
-3.0,2154.0,0,804
-3.0,2183.0,0,804
-3.0,2211.0,0,804
-3.0,2453.0,0,804
-3.0,2482.0,0,804
-3.0,2508.0,0,804
-3.0,2535.0,0,804
-3.0,2813.0,0,804
-3.0,2840.0,0,804
-3.0,2867.0,0,804
-3.0,2897.0,0,804
-3.0,3121.0,0,804
-3.0,3147.0,1,804
-3.0,3174.0,0,804
-3.0,3457.0,0,804
-3.0,3485.0,0,804
-3.0,3788.0,0,805
-3.0,3815.0,0,805
-3.29,4118.0,0,804
-3.29,4145.0,0,805
-3.29,4448.0,0,805
-3.29,4474.0,0,804
-3.29,4503.0,0,804
-3.29,4792.0,0,805
-3.29,4818.0,0,804
-3.29,5113.0,0,804
-3.29,5142.0,0,804
-3.29,5457.0,0,805
-3.29,5486.0,0,804
-3.29,5515.0,0,804
-3.29,5783.0,0,804
-3.29,5812.0,0,804
-3.55,6121.0,0,806
-3.55,6148.0,0,807
-3.55,6176.0,0,808
-3.55,6457.0,427,812
-3.55,6486.0,449,813
-3.55,6514.0,476,813
-3.55,6785.0,506,813
-3.55,6815.0,502,813
-3.55,6844.0,511,814
-3.55,7127.0,526,813
-3.55,7157.0,503,812
-3.55,7186.0,505,812
-3.55,7454.0,424,813
-3.55,7485.0,444,813
-3.55,7516.0,471,813
-3.55,7784.0,458,813
-3.55,7815.0,464,813
-3.55,7843.0,498,813
-3.3,8157.0,504,812
-3.3,8185.0,507,812
-3.3,8214.0,511,812
-3.3,8497.0,429,811
-3.3,8556.0,477,811
-3.3,8585.0,457,811
-3.3,8841.0,518,811
-3.3,8904.0,518,811
-3.3,8935.0,538,811
-3.3,9175.0,515,811
-3.3,9205.0,522,810
-3.3,9234.0,516,810
-3.3,9486.0,518,810
-3.3,9521.0,533,810
-3.3,9551.0,529,811
-3.3,9830.0,534,810
-3.3,9861.0,527,808
-3.3,9889.0,481,809
-3.57,10174.0,480,807
-3.57,10205.0,459,807
-3.57,10235.0,463,807
-3.57,10452.0,492,807
-3.57,10485.0,492,807
-3.57,10516.0,520,807
-3.57,10790.0,544,807
-3.57,10823.0,527,807
-3.57,10854.0,531,807
-3.57,11132.0,537,807
-3.57,11163.0,531,807
-3.57,11194.0,507,807
-3.57,11460.0,515,806
-3.57,11491.0,526,806
-3.57,11522.0,521,806
-3.57,11786.0,511,805
-3.57,11819.0,508,805
-3.57,11849.0,469,804
-3.81,12132.0,528,804
-3.81,12163.0,525,804
-3.81,12193.0,540,804
-3.81,12460.0,531,804
-3.81,12490.0,524,804
-3.81,12519.0,527,803
-3.81,12800.0,530,803
-3.81,12830.0,540,804
-3.81,12861.0,527,803
-3.81,13127.0,479,803
-3.81,13156.0,513,802
-3.81,13187.0,490,801
-3.81,13469.0,504,799
-3.81,13500.0,462,799
-3.81,13531.0,432,799
-3.81,13795.0,492,797
-3.81,13826.0,483,796
-3.81,13856.0,482,796
-4.02,14129.0,512,795
-4.02,14159.0,525,795
-4.02,14190.0,516,795
-4.02,14450.0,525,791
-4.02,14481.0,520,791
-4.02,14512.0,532,790
-4.02,14794.0,524,787
-4.02,14825.0,523,787
-4.02,14856.0,489,786
-4.02,15128.0,520,785
-4.02,15157.0,487,784
-4.02,15187.0,529,784
-4.02,15464.0,548,782
-4.02,15495.0,537,783
-4.02,15523.0,526,782
-4.02,15792.0,560,782
-4.02,15822.0,552,782
-4.02,15851.0,536,782
-4.19,16138.0,516,781
-4.19,16168.0,517,780
-4.19,16199.0,530,779
-4.19,16459.0,561,778
-4.19,16490.0,536,778
-4.19,16521.0,545,777
-4.19,16793.0,526,773
-4.19,16824.0,546,774
-4.19,16855.0,558,774
-4.19,17131.0,565,773
-4.19,17162.0,557,773
-4.19,17190.0,541,773
-4.19,17473.0,541,771
-4.19,17504.0,518,771
-4.19,17537.0,543,771
-4.19,17803.0,554,770
-4.19,17836.0,571,770
-4.19,17866.0,569,770
-4.34,18145.0,576,769
-4.34,18176.0,576,770
-4.34,18206.0,577,770
-4.34,18458.0,553,770
-4.34,18489.0,558,769
-4.34,18520.0,559,769
-4.34,18804.0,555,768
-4.34,18837.0,558,769
-4.34,18868.0,554,769
-4.34,19128.0,561,766
-4.34,19161.0,561,767
-4.34,19191.0,564,766
-4.34,19222.0,562,766
-4.34,19466.0,562,766
-4.34,19499.0,585,766
-4.34,19529.0,559,765
-4.34,19560.0,561,765
-4.34,19798.0,583,765
-4.34,19830.0,563,765
-4.34,19861.0,565,764
-4.21,20127.0,575,765
-4.21,20158.0,565,764
-4.21,20191.0,580,764
-4.21,20221.0,584,763
-4.21,20469.0,566,763
-4.21,20500.0,560,762
-4.21,20531.0,550,762
-4.21,20563.0,568,762
-4.21,20797.0,572,761
-4.21,20828.0,552,761
-4.21,20858.0,540,761
-4.21,21139.0,538,759
-4.21,21170.0,553,759
-4.21,21200.0,548,759
-4.21,21233.0,492,758
-4.21,21465.0,519,758
-4.21,21495.0,522,757
-4.21,21526.0,552,758
-4.21,21557.0,553,758
-4.21,21796.0,535,757
-4.21,21827.0,553,756
-4.21,21860.0,553,757
-4.21,21893.0,560,757
-4.09,22138.0,536,757
-4.09,22169.0,549,756
-4.09,22202.0,540,757
-4.09,22233.0,500,756
-4.09,22464.0,522,757
-4.09,22497.0,508,757
-4.09,22528.0,526,757
-4.09,22558.0,528,757
-4.09,22806.0,543,757
-4.09,22839.0,545,757
-4.09,22870.0,568,756
-4.09,22900.0,553,756
-4.09,23138.0,565,757
-4.09,23169.0,527,756
-4.09,23199.0,505,756
-4.09,23230.0,535,755
-4.09,23465.0,526,754
-4.09,23498.0,501,752
-4.09,23531.0,528,753
-4.09,23562.0,531,752
-4.09,23810.0,555,752
-4.09,23840.0,536,751
-4.09,23871.0,520,751
-4.09,23902.0,540,751
-3.96,24131.0,552,751
-3.96,24164.0,526,750
-3.96,24195.0,516,750
-3.96,24225.0,553,750
-3.96,24475.0,549,749
-3.96,24506.0,527,749
-3.96,24539.0,521,749
-3.96,24569.0,534,750
-3.96,24801.0,564,749
-3.96,24832.0,561,749
-3.96,24864.0,557,749
-3.96,24895.0,514,750
-3.96,25147.0,546,748
-3.96,25178.0,551,749
-3.96,25208.0,520,749
-3.96,25241.0,535,749
-3.96,25470.0,541,749
-3.96,25503.0,510,749
-3.96,25534.0,534,749
-3.96,25565.0,540,749
-3.96,25808.0,509,749
-3.96,25839.0,555,749
-3.96,25868.0,544,749
-3.96,25901.0,530,749
-3.82,26140.0,548,749
-3.82,26171.0,559,748
-3.82,26200.0,555,749
-3.82,26230.0,534,748
-3.82,26476.0,563,749
-3.82,26505.0,532,748
-3.82,26535.0,528,749
-3.82,26564.0,545,748
-3.82,26796.0,565,748
-3.82,26826.0,566,748
-3.82,26855.0,560,748
-3.82,26886.0,560,749
-3.82,27138.0,565,748
-3.82,27168.0,568,748
-3.82,27199.0,566,748
-3.82,27228.0,567,748
-3.82,27465.0,561,749
-3.82,27496.0,562,749
-3.82,27525.0,569,748
-3.82,27555.0,568,748
-3.82,27809.0,559,747
-3.82,27840.0,558,747
-3.82,27869.0,542,748
-3.82,27899.0,546,747
-3.97,28135.0,540,747
-3.97,28166.0,481,748
-3.97,28194.0,542,748
-3.97,28225.0,550,748
-3.97,28475.0,531,747
-3.97,28506.0,504,746
-3.97,28536.0,470,746
-3.97,28807.0,527,742
-3.97,28835.0,470,742
-3.97,28868.0,467,742
-3.97,28897.0,488,742
-3.97,29134.0,478,742
-3.97,29165.0,496,742
-3.97,29196.0,514,742
-3.97,29227.0,505,741
-3.97,29476.0,528,742
-3.97,29505.0,542,741
-3.97,29534.0,526,740
-3.97,29564.0,498,740
-3.97,29802.0,476,739
-3.97,29831.0,496,739
-3.97,29859.0,524,738
-3.97,29890.0,513,738
-3.84,30146.0,534,737
-3.84,30177.0,528,737
-3.84,30208.0,520,737
-3.84,30240.0,506,737
-3.84,30474.0,532,736
-3.84,30502.0,538,736
-3.84,30535.0,538,735
-3.84,30566.0,526,735
-3.84,30818.0,539,733
-3.84,30849.0,522,733
-3.84,30879.0,541,733
-3.84,30910.0,536,733
-3.84,31143.0,541,732
-3.84,31174.0,552,732
-3.84,31205.0,535,731
-3.84,31236.0,555,731
-3.84,31471.0,494,730
-3.84,31502.0,534,729
-3.84,31533.0,538,729
-3.84,31561.0,512,730
-3.84,31797.0,545,729
-3.84,31827.0,539,729
-3.84,31856.0,517,729
-3.84,31887.0,538,729
-3.96,32155.0,528,727
-3.96,32186.0,543,727
-3.96,32217.0,546,727
-3.96,32245.0,523,726
-3.96,32497.0,528,724
-3.96,32528.0,513,723
-3.96,32559.0,546,723
-3.96,32587.0,542,722
-3.96,32841.0,542,722
-3.96,32872.0,534,722
-3.96,32901.0,556,722
-3.96,32931.0,533,722
-3.96,33169.0,538,722
-3.96,33200.0,542,722
-3.96,33228.0,539,722
-3.96,33259.0,539,721
-3.96,33511.0,526,719
-3.96,33542.0,540,718
-3.96,33572.0,545,718
-3.96,33603.0,541,718
-3.96,33837.0,509,714
-3.96,33867.0,513,714
-3.96,33896.0,525,714
-3.96,33927.0,498,713
-3.88,34183.0,542,713
-3.88,34211.0,518,712
-3.88,34242.0,539,712
-3.88,34273.0,545,713
-3.88,34510.0,536,712
-3.88,34541.0,543,712
-3.88,34572.0,532,711
-3.88,34600.0,546,712
-3.88,34836.0,511,712
-3.88,34869.0,494,711
-3.88,34897.0,540,712
-3.88,34928.0,510,711
-3.88,35180.0,501,711
-3.88,35211.0,500,711
-3.88,35241.0,510,711
-3.88,35272.0,504,711
-3.88,35508.0,541,711
-3.88,35540.0,528,712
-3.88,35571.0,516,711
-3.88,35602.0,537,710
-3.88,35876.0,476,705
-3.88,35907.0,534,704
-3.88,35938.0,542,704
-3.88,35969.0,519,703
-3.96,36177.0,477,702
-3.96,36206.0,516,702
-3.96,36237.0,503,702
-3.96,36265.0,499,702
-3.96,36505.0,536,702
-3.96,36536.0,506,702
-3.96,36564.0,511,702
-3.96,36595.0,531,702
-3.96,36843.0,540,702
-3.96,36882.0,521,702
-3.96,36911.0,529,701
-3.96,36941.0,530,701
-3.96,37173.0,541,701
-3.96,37203.0,530,701
-3.96,37234.0,515,700
-3.96,37265.0,542,701
-3.96,37502.0,512,700
-3.96,37533.0,500,700
-3.96,37562.0,532,700
-3.96,37593.0,544,700
-3.96,37840.0,538,699
-3.96,37869.0,479,699
-3.96,37900.0,467,699
-3.96,37931.0,525,699
-4.03,38170.0,439,698
-4.03,38199.0,498,699
-4.03,38230.0,532,699
-4.03,38258.0,507,698
-4.03,38514.0,528,697
-4.03,38547.0,541,697
-4.03,38578.0,539,696
-4.03,38608.0,531,696
-4.03,38842.0,547,693
-4.03,38873.0,517,694
-4.03,38903.0,528,693
-4.03,38934.0,549,693
-4.03,39186.0,546,691
-4.03,39217.0,563,691
-4.03,39247.0,564,690
-4.03,39278.0,541,691
-4.03,39512.0,552,690
-4.03,39540.0,557,691
-4.03,39571.0,561,691
-4.03,39602.0,561,690
-4.03,39835.0,570,691
-4.03,39866.0,576,690
-4.03,39895.0,565,691
-4.03,39925.0,562,691
-4.09,40183.0,557,691
-4.09,40214.0,557,690
-4.09,40245.0,562,690
-4.09,40273.0,557,691
-4.09,40507.0,576,691
-4.09,40538.0,574,691
-4.09,40568.0,556,691
-4.09,40597.0,571,690
-4.09,40851.0,569,691
-4.09,40882.0,574,690
-4.09,40910.0,575,690
-4.09,40941.0,568,690
-4.09,41179.0,545,691
-4.09,41207.0,545,691
-4.09,41238.0,574,691
-4.09,41267.0,537,690
-4.09,41508.0,540,691
-4.09,41539.0,556,691
-4.09,41568.0,544,690
-4.09,41598.0,541,690
-4.09,41854.0,597,686
-4.09,41883.0,587,686
-4.09,41914.0,544,685
-4.09,41943.0,566,685
-4.13,42174.0,571,684
-4.13,42205.0,549,684
-4.13,42233.0,531,683
-4.13,42264.0,563,683
-4.13,42512.0,561,683
-4.13,42543.0,560,684
-4.13,42571.0,554,684
-4.13,42602.0,557,684
-4.13,42844.0,541,682
-4.13,42874.0,531,682
-4.13,42905.0,554,682
-4.13,42934.0,544,680
-4.13,43190.0,554,678
-4.13,43220.0,550,677
-4.13,43251.0,557,677
-4.13,43280.0,569,677
-4.13,43513.0,546,675
-4.13,43542.0,546,675
-4.13,43575.0,546,675
-4.13,43606.0,520,674
-4.13,43855.0,546,672
-4.13,43884.0,546,672
-4.13,43915.0,545,671
-4.13,43943.0,549,672
-4.15,44224.0,546,671
-4.15,44275.0,541,671
-4.15,44306.0,529,671
-4.15,44335.0,533,671
-4.15,44550.0,548,671
-4.15,44587.0,531,671
-4.15,44615.0,534,670
-4.15,44646.0,549,671
-4.15,44855.0,545,668
-4.15,44886.0,535,668
-4.15,44916.0,535,668
-4.15,44945.0,539,667
-4.15,45182.0,562,665
-4.15,45211.0,556,665
-4.15,45242.0,544,665
-4.15,45273.0,561,665
-4.15,45510.0,563,664
-4.15,45541.0,570,664
-4.15,45570.0,572,664
-4.15,45600.0,569,664
-4.15,45850.0,543,664
-4.15,45881.0,564,663
-4.15,45914.0,566,664
-4.15,45944.0,559,664
-4.16,46196.0,551,663
-4.16,46227.0,552,663
-4.16,46258.0,565,664
-4.16,46288.0,558,663
-4.16,46512.0,544,663
-4.16,46542.0,543,662
-4.16,46573.0,569,662
-4.16,46602.0,559,662
-4.16,46845.0,536,660
-4.16,46874.0,554,659
-4.16,46905.0,562,660
-4.16,46936.0,566,659
-4.16,47179.0,560,659
-4.16,47210.0,564,658
-4.16,47241.0,567,658
-4.16,47271.0,562,658
-4.16,47521.0,544,658
-4.16,47552.0,552,657
-4.16,47583.0,559,657
-4.16,47616.0,558,658
-4.16,47847.0,549,657
-4.16,47878.0,554,657
-4.16,47906.0,531,657
-4.16,47937.0,532,657
-4.16,48191.0,492,656
-4.16,48222.0,545,655
-4.16,48250.0,549,655
-4.16,48285.0,528,655
-4.16,48519.0,548,653
-4.16,48549.0,529,652
-4.16,48578.0,525,652
-4.16,48609.0,545,652
-4.16,48861.0,547,651
-4.16,48889.0,549,651
-4.16,48920.0,550,651
-4.16,48949.0,555,650
-4.16,49180.0,555,650
-4.16,49211.0,549,650
-4.16,49240.0,549,650
-4.16,49270.0,548,650
-4.16,49514.0,566,650
-4.16,49545.0,565,650
-4.16,49575.0,562,650
-4.16,49606.0,565,650
-4.16,49844.0,544,650
-4.16,49872.0,556,650
-4.16,49903.0,561,649
-4.16,49932.0,567,649
-4.16,50186.0,548,650
-4.16,50214.0,539,649
-4.16,50245.0,511,649
-4.16,50276.0,522,650
-4.16,50513.0,542,649
-4.16,50544.0,546,649
-4.16,50573.0,550,650
-4.16,50604.0,546,649
-4.16,50855.0,549,647
-4.16,50886.0,558,646
-4.16,50917.0,562,645
-4.16,50950.0,560,644
-4.16,51183.0,553,640
-4.16,51216.0,561,640
-4.16,51247.0,546,639
-4.16,51277.0,541,638
-4.16,51525.0,560,637
-4.16,51554.0,557,637
-4.16,51585.0,562,637
-4.16,51615.0,564,636
-4.16,51851.0,565,634
-4.16,51881.0,568,633
-4.16,51912.0,569,633
-4.16,51943.0,558,632
-4.19,52185.0,564,630
-4.19,52226.0,568,631
-4.19,52256.0,564,630
-4.19,52287.0,569,630
-4.19,52510.0,547,629
-4.19,52543.0,549,628
-4.19,52574.0,554,629
-4.19,52604.0,569,628
-4.19,52852.0,547,627
-4.19,52885.0,551,626
-4.19,52916.0,564,626
-4.19,52946.0,547,626
-4.19,53176.0,551,623
-4.19,53204.0,551,623
-4.19,53235.0,572,623
-4.19,53264.0,564,623
-4.19,53522.0,576,621
-4.19,53555.0,560,620
-4.19,53585.0,574,619
-4.19,53616.0,584,619
-4.19,53848.0,580,619
-4.19,53878.0,559,619
-4.19,53909.0,565,618
-4.19,53940.0,568,618
-4.13,54196.0,579,618
-4.13,54226.0,577,618
-4.13,54259.0,573,617
-4.13,54290.0,566,617
-4.13,54519.0,580,617
-4.13,54550.0,570,617
-4.13,54581.0,569,617
-4.13,54609.0,581,617
-4.13,54847.0,579,617
-4.13,54876.0,579,616
-4.13,54906.0,569,616
-4.13,54935.0,573,617
-4.13,55189.0,588,617
-4.13,55220.0,589,616
-4.13,55250.0,577,616
-4.13,55279.0,578,616
-4.13,55515.0,574,616
-4.13,55543.0,550,616
-4.13,55574.0,568,616
-4.13,55605.0,582,616
-4.13,55859.0,555,615
