LoadID,center_x,center_y,angle (radians from x axis),time,Frame Number
32,333.2067166671753,94.34863302230835,6.200044075291145,0.9974903314176747,12
31,339.6970239944458,91.65800631523132,0.4248314963051161,0.9975100050296016,12
30,335.9785,44.49365625,0.0,0.9975191290235388,12
32,333.312905921936,94.29307367134093,6.211877842394296,1.0278464294960477,13
30,335.9785,44.640499999999996,0.0,1.027866388232785,13
32,333.22901569366456,94.37496523284912,6.200044993107989,1.0680008416884408,14
30,336.2721875,44.49365625,0.0,1.0680193748011255,14
32,333.28910117340087,94.33332484817504,6.211877842394296,1.1056638332863828,15
31,339.75334516906736,91.6709214668274,0.4136873420453744,1.1056823663990676,15
30,335.9785,44.78734375,0.0,1.1056914903930046,15
32,336.86092481994626,92.12095310592652,0.9544999323351582,1.136250597336478,16
30,336.12534375,44.640499999999996,0.0,1.1362694155739734,16
32,333.2158227005005,94.38610578346253,6.200044075291145,1.1698804984894087,17
30,335.9785,44.49365625,0.0,1.169899316726904,17
32,333.284655708313,94.2971247806549,6.209247087412184,1.2019353701889466,18
30,335.9785,44.78734375,0.0,1.2019541884264417,18
32,333.27554967498776,94.40837792205811,6.224428851977998,1.2309553734051544,19
30,335.9785,44.640499999999996,0.0,1.2309741916426498,19
32,333.27816676330565,94.39715670776367,6.216616962289981,1.2793233760146165,20
30,335.9785,44.640499999999996,0.0,1.2793416240024909,20
32,333.2482674255371,94.40494523429871,6.216615698782593,1.3077320716370384,21
30,335.9785,44.640499999999996,0.0,1.307750034500102,21
32,333.2684154205322,94.3965024356842,6.216615698782593,1.337285828498567,22
30,335.9785,44.640499999999996,0.0,1.3373049318608727,22
32,333.2654756774902,94.40559054374694,6.21432769452664,1.368081018785163,23
30,335.9785,44.49365625,0.0,1.3680992667730372,23
32,333.2385160827637,94.40429096221924,6.216617143403763,1.399025614472479,24
30,335.9785,44.640499999999996,0.0,1.399044717834785,24
32,333.26777011108396,94.40624481582641,6.216615698782593,1.4301099213169572,25
30,335.9785,44.640499999999996,0.0,1.4301315908025578,25
32,333.26275103759764,94.40682738685608,6.220765152050339,1.4619617841513943,26
30,336.09601802062986,44.63965751266479,6.254621727792154,1.4619803172640793,26
32,333.2482674255371,94.40494523429871,6.216615886799635,1.4929862147856603,27
30,335.9785,44.640499999999996,0.0,1.4930050330231555,27
32,333.25360915374756,94.40625377845764,6.220767167902668,1.5472611480949672,28
30,336.05199357604977,44.6384699640274,6.2554149719941625,1.547280821706894,28
32,333.25360915374756,94.40625377845764,6.220767167902668,1.5730184681042279,29
30,336.0846175537109,44.63937518978119,6.255414670586165,1.5730370012169126,29
32,333.25360915374756,94.40625377845764,6.220767167902668,1.6036628273660511,30
30,336.0886328125,44.639487222671505,6.255414518189219,1.6036799348546833,30
32,333.2444672698974,94.40568913269043,6.220766497183629,1.6328772857030436,31
30,336.04987839508055,44.638344487190246,6.254620990127536,1.6328972444397811,31
32,333.26257178497315,94.33736699485779,6.216617143403763,1.6637930837844959,32
30,335.9785,44.640499999999996,0.0,1.66381133177237,32
32,333.22560989379883,94.41368379974365,6.220766497183629,1.695809748759422,33
30,336.0918235092163,44.63954099845886,6.254621375113864,1.6958285669969173,33
32,333.2583772735596,94.40736514472961,6.2244286979299535,1.726778294930823,34
30,335.9785,44.640499999999996,0.0,1.7267962577938867,34
32,333.25360915374756,94.40625377845764,6.220767167902668,1.7706216519219122,35
30,336.0624619293213,44.63870299243927,6.2546213387278975,1.7706398999097865,35
32,333.2406671142578,94.41495649337769,6.2244286979299535,1.8048477490536707,36
30,336.05199357604977,44.6384699640274,6.2554149719941625,1.8048662821663555,36
32,333.2576244125366,94.34226059150696,6.220767167902668,1.8358576383225993,37
30,336.05608053588867,44.63858199691772,6.2554145196953765,1.835876171435284,37
32,333.25360915374756,94.40625377845764,6.220767167902668,1.8669416600422668,38
30,335.9785,44.640499999999996,0.0,1.8669596229053307,38
32,333.243893661499,94.41483101654052,6.220766497183629,1.8984086043824824,39
30,336.05199357604977,44.6384699640274,6.2554149719941625,1.8984288482440304,39
32,333.2164680099487,94.41311019134521,6.2207658301297375,1.9376152617046587,40
30,336.0275435180664,44.637784322738646,6.255414371393954,1.9376332245677224,40
32,333.2897464828491,94.31418963050842,6.224430115316202,1.9782341422134124,41
30,335.9785,44.640499999999996,0.0,1.9782532455757182,41
32,333.2406671142578,94.41495649337769,6.224428545461166,2.0082287020320275,42
30,336.06059770202637,44.63859992218018,6.253781859405947,2.0082478053943333,42
32,333.2347517776489,94.41424844551086,6.2207658301297375,2.03904328080574,43
30,335.9785,44.640499999999996,0.0,2.039061528793614,43
32,333.24790892028807,94.35082886695861,6.220766497183629,2.069999566610288,44
30,336.03729486083984,44.63798598194122,6.254621957599286,2.070018669972594,44
32,333.22560989379883,94.41368379974365,6.2207651667110335,2.1012221589878752,45
30,336.10239941406246,44.63978298950195,6.251945131336246,2.101241547474992,45
32,333.2406671142578,94.41495649337769,6.224428545461166,2.1329448602831405,46
30,336.02876243591305,44.6419385023117,6.2546212649889,2.1329642487702567,46
32,333.2210568771362,94.33997512054444,6.220767160612321,2.1649908931135515,47
30,336.0611713104248,44.63849237060547,6.251946150037966,2.1650094262262365,47
32,333.23199128723144,94.41445458602905,6.224429796664639,2.20341488283081,48
30,336.03901568603516,44.63796805667877,6.253781384842881,2.2034348415675478,48
32,333.2290515441894,94.35883249664306,6.2207651667110335,2.229886725615271,49
30,336.03467777252195,44.637838098526,6.253782018975581,2.229905543852766,49
32,333.2301987609863,94.34054872894286,6.2207651667110335,2.259126560060401,50
