LoadID,center_x,center_y,angle (radians from x axis),time,Frame Number
73,343.1288513412475,157.5598841743469,3.064822108680735,0.5954931461698044,0
07,346.94392079925535,111.72161813735961,6.241542728080998,0.5955153859050261,0
70,351.6422037887573,88.68958285331726,3.0584524061379024,0.5955247950237738,0
03,346.8820786437988,111.73739236831665,6.241543246424259,0.6253357344644045,1
73,343.1522617340088,157.5617663269043,3.0676514630264857,0.6253576890748156,1
70,351.6200123138428,88.70023942184449,3.0548532891102322,0.6253668130687527,1
07,346.89182998657225,111.60312318992614,6.243205106790249,0.6586260519679885,2
17,343.91634397125245,130.34615403938292,5.184509199243088,0.6586468660791575,2
07,346.9035531082153,111.60358924674988,6.243205106790249,0.6905403571359326,3
17,343.91634397125245,130.34615403938292,5.184509199243088,0.6905623117463439,3
03,346.89376591491697,111.6032845172882,6.241543780412524,0.722715551505516,4
17,343.91634397125245,130.34615403938292,5.184509199243088,0.7227363656166851,4
07,346.9013662261963,111.60341895675658,6.244743443768369,0.7544932818892142,5
17,343.91634397125245,130.34615403938292,5.184509199243088,0.7545143811251938,5
03,346.8876713256836,111.60302460098266,6.241542728080998,0.7890792065318672,6
17,343.91634397125245,130.34615403938292,5.184509199243088,0.7891005908926574,6
07,346.89770947265623,111.603356218338,6.243207504627243,0.8281472931961237,7
17,343.91634397125245,130.34615403938292,5.184509199243088,0.8281678221824822,7
07,346.8957376937866,111.60320385360717,6.244742959842298,0.8591460625974414,8
17,343.91634397125245,130.34615403938292,5.184509199243088,0.8591663064589894,8
07,346.89770947265623,111.603356218338,6.243207504627243,0.88984659144694,9
17,343.91634397125245,130.34615403938292,5.184509199243088,0.8898662650588669,9
07,346.9035531082153,111.60358924674988,6.243205106790249,0.920418814131698,10
17,343.91634397125245,130.34615403938292,5.184509199243088,0.9204373472443828,10
46,345.67144226837155,135.96409261894226,6.192523868228752,0.9470124052102568,11
03,346.9215500717163,111.61301793479919,6.230602865218357,0.9470320788221837,11
30,351.7097820281982,88.59342278289795,6.20641494178173,0.9470412028161207,11
32,343.0511632537842,157.68944797134398,6.206413848783445,0.9470497565604368,11
46,345.67144226837155,135.96409261894226,6.192523868228752,0.9780969971795453,12
03,346.9353525238037,111.65124355697631,6.222654359751722,0.9781163856666617,12
30,351.69375684356686,88.65188602638244,6.2118766297745625,0.9781255096605989,12
32,343.07023573303223,157.69231601333618,6.211880251683551,0.9781340634049148,12
46,345.71525160980224,135.96713991355895,6.183517800888541,1.0089859935288072,13
03,346.9348506164551,111.59808619117736,6.227686147400934,1.009005096891113,13
30,351.6985608139038,88.59256237030029,6.206413197144898,1.0090139357602397,13
32,343.09106488800046,157.69378588485716,6.211880251683551,1.0090224895045556,13
46,345.67144226837155,135.96409261894226,6.192523868228752,1.0399787753091039,14
03,346.93660729217527,111.65847640037536,6.224430527796603,1.0399973084217886,14
30,351.6968041381836,88.61502272415161,6.206413197144898,1.0400064324157257,14
32,343.07023573303223,157.69231601333618,6.211880251683551,1.0400147010352312,14
46,345.68617683410645,135.96422705841064,6.183517800888541,1.0714790792521518,15
03,346.9061701965332,111.61221129798889,6.230602865218357,1.0714978974896472,15
30,351.6726050338745,88.61868844032287,6.200045021569055,1.0715070214835842,15
32,343.09178189849854,157.6833533821106,6.211880251683551,1.0715155752279002,15
46,345.6955338211059,135.96720265197754,6.200045021569055,1.1029907881876213,16
03,346.9219802780151,111.60531007194518,6.230602865218357,1.1030101766747376,16
30,351.7050497589111,88.58904005622864,6.203355888711023,1.1030193006686746,16
32,343.07023573303223,157.69231601333618,6.211880251683551,1.1030278544129908,16
46,345.744326385498,135.97004380607603,6.183517800888541,1.133845569559619,17
03,346.984790397644,111.60761346817016,6.237763381085402,1.1338649580467355,17
30,351.68554707336426,88.61415334892273,6.20641494178173,1.1339790079709493,17
32,343.09106488800046,157.69378588485716,6.211880251683551,1.1339912683378022,17
46,345.683416343689,135.96618091201782,6.2000450106916825,1.1704085496385188,18
03,346.93442041015624,111.6062242603302,6.2276858253740714,1.170427938125635,18
30,351.67059740447996,88.68168677520751,6.211877440846168,1.1704370621195723,18
14,352.7776616134643,88.92592743873595,6.192525091833163,1.1704456158638883,18
32,343.0590503692627,157.70199565505982,6.211878637645059,1.1704538844833938,18
46,345.70872681427,135.9560531387329,6.2000450106916825,1.202483950324415,19
03,346.9430245361328,111.59854328536987,6.227687126587533,1.2025027685619103,19
30,351.6930039825439,88.6623095664978,6.211877440846168,1.2025118925558473,19
32,343.0701998825073,157.69229808807373,6.211875448848254,1.2025201611753529,19
54,352.80809870910645,88.90978573989868,6.211877329493561,1.2025281446700478,19
46,345.683416343689,135.96618091201782,6.2000450106916825,1.3344662292471907,20
03,346.909540145874,111.61300000953673,6.2276874547156496,1.3344947417282442,20
30,351.691498260498,88.68318353462219,6.211877440846168,1.334510138468013,20
54,352.7776616134643,88.92592743873595,6.192525091833163,1.3345246798333503,20
32,343.07708318328855,157.69396513748168,6.21661417511547,1.334538365824256,20
46,345.7617497406006,135.9617533721924,6.206413848783445,1.3696680234805985,21
03,346.95926482391354,111.59944851112365,6.227687126587533,1.3696868417180936,21
30,351.6721031265259,88.66082176971435,6.211877440846168,1.3696962508368413,21
32,343.0806682357788,157.6930688743591,6.211877842394296,1.3697048045811573,21
46,345.70557196807863,135.95743338394163,6.206414486698583,1.3989186926685286,22
03,346.9343845596313,111.6062242603302,6.227687773321171,1.398938081155645,22
30,351.6234181137085,88.68844459915161,6.206413415909808,1.398946634899961,22
32,343.09655001831055,157.69527368164063,6.21661417511547,1.3989549035194666,22
