Velocity (cm/s),Time (ms),Force (10bit ADC),Potentiometer (10bit ADC)
0.0,557.0,234,786
0.0,585.0,234,787
0.0,614.0,234,786
0.0,643.0,234,786
0.0,671.0,235,787
0.0,700.0,235,787
0.0,729.0,235,787
0.0,757.0,234,786
0.0,786.0,234,786
0.0,813.0,235,786
0.0,841.0,234,787
0.0,870.0,235,786
0.0,899.0,235,786
0.0,927.0,234,787
0.0,954.0,235,786
0.0,980.0,235,787
0.0,1007.0,234,787
0.0,1036.0,235,787
0.0,1062.0,235,786
0.0,1091.0,235,786
0.0,1120.0,234,787
0.0,1146.0,234,786
0.0,1175.0,234,787
0.0,1202.0,234,786
0.0,1230.0,234,786
0.0,1259.0,234,787
0.0,1288.0,234,787
0.0,1314.0,233,786
0.0,1343.0,234,787
0.0,1372.0,234,786
0.0,1562.0,234,786
0.0,1591.0,234,786
0.0,1617.0,233,787
0.0,1646.0,234,786
0.0,1892.0,233,786
0.0,1921.0,233,786
0.0,1949.0,233,786
-3.0,2226.0,232,786
-3.0,2256.0,231,787
-3.0,2285.0,232,786
-3.0,2316.0,229,787
-3.0,2551.0,219,786
-3.0,2582.0,253,786
-3.0,2611.0,270,787
-3.0,2641.0,274,787
-3.0,2887.0,349,787
-3.0,2918.0,355,786
-3.0,2949.0,368,786
-3.0,2977.0,370,786
-3.0,3227.0,401,786
-3.0,3256.0,396,787
-3.0,3287.0,348,786
-3.0,3315.0,353,787
-3.0,3569.0,369,786
-3.0,3600.0,371,786
-3.0,3629.0,366,787
-3.0,3659.0,364,787
-3.0,3891.0,351,786
-3.0,3921.0,336,787
-3.0,3950.0,337,786
-3.0,3981.0,347,786
-3.0,4241.0,320,786
-3.0,4272.0,340,787
-3.0,4302.0,346,787
-3.0,4331.0,348,787
-3.0,4577.0,325,786
-3.0,4605.0,331,786
-3.0,4634.0,347,786
-3.0,4663.0,351,786
-3.0,4898.0,340,787
-3.0,4927.0,332,786
-3.0,4954.0,338,787
-3.0,5228.0,316,787
-3.0,5257.0,288,786
-3.0,5287.0,300,787
-3.0,5568.0,297,787
-3.0,5597.0,277,786
-3.0,5625.0,312,787
-3.0,5654.0,308,787
-3.0,5894.0,313,786
-3.0,5922.0,278,787
-3.0,5951.0,282,787
-3.0,6238.0,319,786
-3.0,6266.0,319,787
-3.0,6297.0,309,786
-3.0,6567.0,332,787
-3.0,6596.0,334,786
-3.0,6625.0,286,786
-3.0,6909.0,314,786
-3.0,6938.0,318,787
-3.0,6967.0,314,786
-3.0,7239.0,340,787
-3.0,7268.0,347,786
-3.0,7297.0,344,786
-3.0,7565.0,291,787
-3.0,7593.0,281,786
-3.0,7622.0,311,787
-3.0,7651.0,309,786
-3.0,7892.0,309,787
-3.0,7923.0,321,787
-3.0,7952.0,285,786
-3.0,7981.0,300,786
-3.0,8237.0,328,787
-3.0,8265.0,291,786
-3.0,8294.0,293,786
-3.0,8323.0,315,786
-3.0,8562.0,322,786
-3.0,8591.0,324,787
-3.0,8620.0,294,787
-3.0,8648.0,301,786
-3.0,8906.0,330,786
-3.0,8935.0,330,787
-3.0,8966.0,296,787
-3.0,8994.0,290,787
-3.0,9232.0,299,787
-3.0,9261.0,302,787
-3.0,9289.0,295,787
-3.0,9318.0,295,786
-3.0,9570.0,309,787
-3.0,9601.0,287,787
-3.0,9629.0,267,787
-3.0,9906.0,291,787
-3.0,9934.0,302,786
-3.0,9963.0,302,787
-3.0,10231.0,267,786
-3.0,10262.0,274,787
-3.0,10293.0,290,786
-3.0,10323.0,293,787
-3.0,10573.0,284,786
-3.0,10602.0,311,786
-3.0,10633.0,291,786
-3.0,10903.0,283,786
-3.0,10934.0,254,787
-3.0,10962.0,270,786
-3.0,10993.0,258,787
-3.0,11231.0,248,787
-3.0,11261.0,253,786
-3.0,11292.0,271,786
-3.0,11321.0,297,787
-3.0,11575.0,273,787
-3.0,11606.0,269,786
-3.0,11636.0,278,786
-3.0,11917.0,259,786
-3.0,11948.0,282,787
-3.0,11980.0,285,786
-3.61,12242.0,283,787
-3.61,12273.0,267,786
-3.61,12302.0,288,786
-3.61,12333.0,284,786
-3.61,12570.0,297,786
-3.61,12601.0,306,787
-3.61,12630.0,307,786
-3.61,12660.0,299,786
-3.61,12902.0,310,787
-3.61,12933.0,314,786
